CATIMA dE/dx table for genfit  (A=1 Z=1 in matA=2.014)
density 6.61e-05 g/cm3 = 0.0661 mg/cm3
Energy Unit  dEdx_elec  dEdx_nucl  Range Unit  lonStra Unit  latStra Unit
0.0314983 MeV 1.04304 0 5.68074 mm 0.10068 mm 0 mm
0.0319591 MeV 1.0487 0 5.74688 mm 0.101552 mm 0 mm
0.0324266 MeV 1.05436 0 5.81363 mm 0.102428 mm 0 mm
0.032901 MeV 1.06 0 5.88098 mm 0.103307 mm 0 mm
0.0333823 MeV 1.06564 0 5.94896 mm 0.104191 mm 0 mm
0.0338707 MeV 1.07127 0 6.01758 mm 0.105079 mm 0 mm
0.0343662 MeV 1.07688 0 6.08683 mm 0.105971 mm 0 mm
0.034869 MeV 1.08249 0 6.15673 mm 0.106868 mm 0 mm
0.0353791 MeV 1.08807 0 6.22728 mm 0.107769 mm 0 mm
0.0358967 MeV 1.09364 0 6.2985 mm 0.108675 mm 0 mm
0.0364218 MeV 1.09921 0 6.3704 mm 0.109586 mm 0 mm
0.0369546 MeV 1.10474 0 6.44298 mm 0.110502 mm 0 mm
0.0374952 MeV 1.11026 0 6.51626 mm 0.111423 mm 0 mm
0.0380438 MeV 1.11575 0 6.59024 mm 0.11235 mm 0 mm
0.0386003 MeV 1.12122 0 6.66493 mm 0.113282 mm 0 mm
0.039165 MeV 1.12667 0 6.74035 mm 0.11422 mm 0 mm
0.039738 MeV 1.13209 0 6.81651 mm 0.115164 mm 0 mm
0.0403193 MeV 1.13747 0 6.89341 mm 0.116115 mm 0 mm
0.0409092 MeV 1.14284 0 6.97107 mm 0.117071 mm 0 mm
0.0415077 MeV 1.14816 0 7.04949 mm 0.118034 mm 0 mm
0.0421149 MeV 1.15346 0 7.1287 mm 0.119004 mm 0 mm
0.042731 MeV 1.15871 0 7.2087 mm 0.119981 mm 0 mm
0.0433561 MeV 1.16392 0 7.2895 mm 0.120965 mm 0 mm
0.0439904 MeV 1.1691 0 7.37112 mm 0.121957 mm 0 mm
0.044634 MeV 1.17423 0 7.45357 mm 0.122956 mm 0 mm
0.0452869 MeV 1.17931 0 7.53687 mm 0.123962 mm 0 mm
0.0459494 MeV 1.18436 0 7.62102 mm 0.124977 mm 0 mm
0.0466217 MeV 1.18934 0 7.70604 mm 0.126001 mm 0 mm
0.0473037 MeV 1.19429 0 7.79194 mm 0.127033 mm 0 mm
0.0479957 MeV 1.19917 0 7.87874 mm 0.128074 mm 0 mm
0.0486979 MeV 1.204 0 7.96646 mm 0.129123 mm 0 mm
0.0494103 MeV 1.20877 0 8.05511 mm 0.130183 mm 0 mm
0.0501331 MeV 1.21348 0 8.1447 mm 0.131252 mm 0 mm
0.0508666 MeV 1.21814 0 8.23525 mm 0.132331 mm 0 mm
0.0516107 MeV 1.22271 0 8.32678 mm 0.13342 mm 0 mm
0.0523657 MeV 1.22722 0 8.4193 mm 0.13452 mm 0 mm
0.0531318 MeV 1.23167 0 8.51284 mm 0.135631 mm 0 mm
0.0539091 MeV 1.23604 0 8.6074 mm 0.136753 mm 0 mm
0.0546977 MeV 1.24033 0 8.70301 mm 0.137886 mm 0 mm
0.0554979 MeV 1.24456 0 8.79969 mm 0.139032 mm 0 mm
0.0563098 MeV 1.24869 0 8.89745 mm 0.14019 mm 0 mm
0.0571336 MeV 1.25275 0 8.99632 mm 0.14136 mm 0 mm
0.0579694 MeV 1.25671 0 9.09632 mm 0.142544 mm 0 mm
0.0588175 MeV 1.26059 0 9.19746 mm 0.143741 mm 0 mm
0.059678 MeV 1.26439 0 9.29977 mm 0.144952 mm 0 mm
0.060551 MeV 1.26808 0 9.40327 mm 0.146178 mm 0 mm
0.0614368 MeV 1.27167 0 9.50798 mm 0.147418 mm 0 mm
0.0623356 MeV 1.27518 0 9.61392 mm 0.148673 mm 0 mm
0.0632476 MeV 1.27857 0 9.72113 mm 0.149944 mm 0 mm
0.0641728 MeV 1.28187 0 9.82962 mm 0.151232 mm 0 mm
0.0651116 MeV 1.28505 0 9.93942 mm 0.152536 mm 0 mm
0.0660642 MeV 1.28813 0 10.0506 mm 0.153857 mm 0 mm
0.0670307 MeV 1.2911 0 10.1631 mm 0.155196 mm 0 mm
0.0680113 MeV 1.29394 0 10.2769 mm 0.156553 mm 0 mm
0.0690062 MeV 1.29667 0 10.3922 mm 0.15793 mm 0 mm
0.0700158 MeV 1.29928 0 10.509 mm 0.159325 mm 0 mm
0.07104 MeV 1.30177 0 10.6272 mm 0.160741 mm 0 mm
0.0720793 MeV 1.30414 0 10.747 mm 0.162178 mm 0 mm
0.0731338 MeV 1.30636 0 10.8682 mm 0.163636 mm 0 mm
0.0742037 MeV 1.30846 0 10.9911 mm 0.165117 mm 0 mm
0.0752892 MeV 1.31044 0 11.1155 mm 0.16662 mm 0 mm
0.0763907 MeV 1.31227 0 11.2416 mm 0.168147 mm 0 mm
0.0775082 MeV 1.31396 0 11.3693 mm 0.169698 mm 0 mm
0.0786421 MeV 1.31552 0 11.4988 mm 0.171275 mm 0 mm
0.0797926 MeV 1.31692 0 11.63 mm 0.172878 mm 0 mm
0.0809599 MeV 1.3182 0 11.763 mm 0.174507 mm 0 mm
0.0821443 MeV 1.31931 0 11.8978 mm 0.176165 mm 0 mm
0.083346 MeV 1.32027 0 12.0345 mm 0.177851 mm 0 mm
0.0845653 MeV 1.3211 0 12.1731 mm 0.179566 mm 0 mm
0.0858025 MeV 1.32175 0 12.3136 mm 0.181312 mm 0 mm
0.0870577 MeV 1.32225 0 12.4561 mm 0.183091 mm 0 mm
0.0883313 MeV 1.32261 0 12.6007 mm 0.184904 mm 0 mm
0.0896235 MeV 1.32279 0 12.7474 mm 0.186746 mm 0 mm
0.0909347 MeV 1.32282 0 12.8962 mm 0.18861 mm 0 mm
0.092265 MeV 1.32268 0 13.0471 mm 0.190493 mm 0 mm
0.0936148 MeV 1.32237 0 13.2003 mm 0.192396 mm 0 mm
0.0949843 MeV 1.32191 0 13.3558 mm 0.194318 mm 0 mm
0.0963739 MeV 1.32127 0 13.5136 mm 0.196261 mm 0 mm
0.0977837 MeV 1.32048 0 13.6739 mm 0.198227 mm 0 mm
0.0992143 MeV 1.31949 0 13.8366 mm 0.200214 mm 0 mm
0.100666 MeV 1.31834 0 14.0017 mm 0.202226 mm 0 mm
0.102138 MeV 1.31703 0 14.1695 mm 0.204262 mm 0 mm
0.103633 MeV 1.31553 0 14.3399 mm 0.206324 mm 0 mm
0.105149 MeV 1.31386 0 14.513 mm 0.208412 mm 0 mm
0.106687 MeV 1.31203 0 14.6889 mm 0.210528 mm 0 mm
0.108248 MeV 1.31001 0 14.8676 mm 0.212673 mm 0 mm
0.109831 MeV 1.30783 0 15.0492 mm 0.214847 mm 0 mm
0.111438 MeV 1.30546 0 15.2338 mm 0.217053 mm 0 mm
0.113068 MeV 1.30292 0 15.4214 mm 0.21929 mm 0 mm
0.114722 MeV 1.30021 0 15.6122 mm 0.221561 mm 0 mm
0.116401 MeV 1.29732 0 15.8062 mm 0.223867 mm 0 mm
0.118104 MeV 1.29425 0 16.0034 mm 0.226208 mm 0 mm
0.119831 MeV 1.29102 0 16.2041 mm 0.228586 mm 0 mm
