   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  1.3450E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  1.2737E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  1.2100E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  1.1528E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  1.1010E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  1.0540E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  1.0104E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  9.7048E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  9.3371E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  8.9977E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  8.6834E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  8.3915E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  8.1197E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  7.8660E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  7.6286E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  7.4060E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  7.1968E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  6.9999E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  6.8142E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  6.6388E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  6.4729E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  6.3156E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  6.1665E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  6.0248E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  5.8900E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  5.7616E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  5.6392E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  5.5225E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  5.4109E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  5.3042E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  5.2021E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  5.1043E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  5.0105E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  4.9205E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  4.8341E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  4.7511E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  4.6713E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  4.5945E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  4.5206E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  4.4493E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  4.3807E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  4.3144E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  4.2505E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  4.1888E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  4.1292E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  4.0716E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  4.0158E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  3.9618E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  3.9093E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
