   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  9.6083E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  9.1069E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  8.6582E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  8.2545E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  7.8890E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  7.5566E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  7.2530E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  6.9743E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  6.7177E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  6.4806E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  6.2608E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  6.0564E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  5.8658E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  5.6877E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  5.5208E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  5.3641E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  5.2166E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  5.0776E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  4.9463E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  4.8221E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  4.7044E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  4.5927E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  4.4865E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  4.3854E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  4.2892E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  4.1971E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  4.1081E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  4.0228E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  3.9412E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  3.8630E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  3.7881E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  3.7162E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  3.6471E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  3.5807E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  3.5168E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  3.4553E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  3.3960E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  3.3389E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  3.2838E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  3.2306E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  3.1792E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  3.1294E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  3.0814E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  3.0349E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  2.9898E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  2.9462E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  2.9039E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  2.8629E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  2.8231E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  2.7845E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  2.7470E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  2.7106E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  2.6752E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  2.6408E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  2.6073E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  2.5748E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  2.5431E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  2.5122E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  2.4821E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  2.4529E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  2.4243E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  2.3965E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  2.3694E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  2.3429E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  2.3170E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  2.2918E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  2.2672E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  2.2432E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  2.2197E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  2.1967E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  2.1743E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  2.1524E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  2.1309E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  2.1100E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  2.0894E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  2.0694E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  2.0497E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  2.0305E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  2.0117E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  1.9932E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  1.9751E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  1.9574E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  1.9401E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  1.9231E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  1.9065E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  1.8901E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  1.8741E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  1.8584E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  1.8430E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  1.8279E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  1.8131E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  1.7985E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  1.7842E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  1.7702E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  1.7564E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  1.7429E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  1.7296E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  1.7166E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  1.7038E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  1.6912E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  1.6788E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  1.6667E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  1.6548E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  1.6430E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  1.6315E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  1.6201E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  1.6090E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  1.5980E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  1.5871E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  1.5765E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  1.5659E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  1.5556E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  1.5454E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  1.5353E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  1.5254E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  1.5157E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  1.5060E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  1.4965E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  1.4872E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  1.4779E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  1.4688E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  1.4599E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  1.4510E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  1.4423E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  1.4337E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  1.4252E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  1.4168E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  1.4085E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  1.4003E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  1.3923E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  1.3843E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  1.3764E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  1.3687E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  1.3610E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  1.3535E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  1.3460E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  1.3386E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  1.3313E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  1.3241E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  1.3170E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  1.3100E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  1.3031E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  1.2962E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  1.2894E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  1.2827E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  1.2761E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  1.2696E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  1.2631E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  1.2567E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  1.2504E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  1.2442E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  1.2380E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  1.2319E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  1.2258E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   169.000 MeV  1.2199E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   170.000 MeV  1.2140E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   171.000 MeV  1.2081E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   172.000 MeV  1.2023E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   173.000 MeV  1.1966E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   174.000 MeV  1.1910E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   175.000 MeV  1.1854E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   176.000 MeV  1.1799E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   177.000 MeV  1.1744E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   178.000 MeV  1.1690E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   179.000 MeV  1.1636E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   180.000 MeV  1.1583E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   181.000 MeV  1.1531E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   182.000 MeV  1.1479E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   183.000 MeV  1.1427E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   184.000 MeV  1.1376E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   185.000 MeV  1.1326E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   186.000 MeV  1.1276E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   187.000 MeV  1.1227E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   188.000 MeV  1.1178E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   189.000 MeV  1.1130E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   190.000 MeV  1.1082E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   191.000 MeV  1.1034E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   192.000 MeV  1.0987E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   193.000 MeV  1.0941E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   194.000 MeV  1.0895E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   195.000 MeV  1.0849E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   196.000 MeV  1.0804E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   197.000 MeV  1.0759E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   198.000 MeV  1.0715E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   199.000 MeV  1.0671E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   200.000 MeV  1.0627E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
