   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  7.5858E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  7.1851E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  6.8273E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  6.5057E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  6.2151E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  5.9510E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  5.7098E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  5.4888E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  5.2854E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  5.0975E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  4.9233E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  4.7615E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  4.6107E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  4.4697E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  4.3377E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  4.2137E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  4.0955E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  3.9839E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  3.8785E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  3.7789E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  3.6845E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  3.5951E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  3.5101E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  3.4293E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  3.3523E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  3.2789E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  3.2089E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  3.1420E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  3.0780E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  3.0168E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  2.9580E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  2.9017E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  2.8476E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  2.7957E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  2.7457E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  2.6977E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  2.6514E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  2.6068E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  2.5638E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  2.5223E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  2.4822E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  2.4435E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  2.4061E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  2.3699E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  2.3349E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  2.3010E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  2.2682E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  2.2363E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  2.2055E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  2.1756E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  2.1465E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  2.1183E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  2.0910E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  2.0644E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  2.0385E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  2.0134E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  1.9890E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  1.9652E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  1.9420E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  1.9195E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  1.8975E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  1.8762E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  1.8553E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  1.8350E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  1.8152E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  1.7959E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  1.7771E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  1.7587E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  1.7408E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  1.7233E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  1.7061E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  1.6894E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  1.6731E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  1.6572E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  1.6416E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  1.6263E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  1.6114E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  1.5968E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  1.5825E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  1.5685E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  1.5547E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  1.5412E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    97.000 MeV  1.5280E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    98.000 MeV  1.5150E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    99.000 MeV  1.5022E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   100.000 MeV  1.4897E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   101.000 MeV  1.4775E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   102.000 MeV  1.4654E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   103.000 MeV  1.4536E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   104.000 MeV  1.4420E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   105.000 MeV  1.4306E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   106.000 MeV  1.4194E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   107.000 MeV  1.4084E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   108.000 MeV  1.3976E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   109.000 MeV  1.3869E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   110.000 MeV  1.3765E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   111.000 MeV  1.3662E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   112.000 MeV  1.3561E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   113.000 MeV  1.3462E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   114.000 MeV  1.3364E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   115.000 MeV  1.3268E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   116.000 MeV  1.3173E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   117.000 MeV  1.3080E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   118.000 MeV  1.2988E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   119.000 MeV  1.2898E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   120.000 MeV  1.2809E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   121.000 MeV  1.2722E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   122.000 MeV  1.2636E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   123.000 MeV  1.2551E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   124.000 MeV  1.2468E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   125.000 MeV  1.2386E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   126.000 MeV  1.2305E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   127.000 MeV  1.2225E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   128.000 MeV  1.2146E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   129.000 MeV  1.2069E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   130.000 MeV  1.1993E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   131.000 MeV  1.1917E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   132.000 MeV  1.1843E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   133.000 MeV  1.1770E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   134.000 MeV  1.1698E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   135.000 MeV  1.1627E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   136.000 MeV  1.1557E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   137.000 MeV  1.1487E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   138.000 MeV  1.1419E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   139.000 MeV  1.1352E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   140.000 MeV  1.1285E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   141.000 MeV  1.1220E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   142.000 MeV  1.1155E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   143.000 MeV  1.1091E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   144.000 MeV  1.1028E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   145.000 MeV  1.0966E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   146.000 MeV  1.0905E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   147.000 MeV  1.0844E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   148.000 MeV  1.0785E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   149.000 MeV  1.0726E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   150.000 MeV  1.0667E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   151.000 MeV  1.0610E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   152.000 MeV  1.0553E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   153.000 MeV  1.0497E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   154.000 MeV  1.0441E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   155.000 MeV  1.0386E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   156.000 MeV  1.0332E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   157.000 MeV  1.0279E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   158.000 MeV  1.0226E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   159.000 MeV  1.0174E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   160.000 MeV  1.0122E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   161.000 MeV  1.0071E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   162.000 MeV  1.0020E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   163.000 MeV  9.9706E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   164.000 MeV  9.9213E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   165.000 MeV  9.8726E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   166.000 MeV  9.8244E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   167.000 MeV  9.7768E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   168.000 MeV  9.7297E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
