   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  1.5420E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  1.4916E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  1.4452E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  1.4021E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  1.3619E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  1.3243E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  1.2890E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  1.2557E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  1.2242E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  1.1944E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  1.1661E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  1.1392E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  1.1136E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  1.0892E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  1.0659E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  1.0435E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  1.0222E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  1.0017E+01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  9.8210E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  9.6325E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  9.4513E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  9.2771E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  9.1093E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  8.9478E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  8.7920E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  8.6417E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  8.4967E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  8.3566E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  8.2212E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  8.0902E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  7.9635E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  7.8408E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  7.7220E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  7.6068E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  7.4951E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  7.3868E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  7.2817E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  7.1796E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  7.0804E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  6.9841E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  6.8904E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  6.7993E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  6.7106E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  6.6243E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  6.5403E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  6.4585E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  6.3787E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  6.3010E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  6.2253E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  6.1514E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  6.0793E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  6.0089E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  5.9402E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  5.8731E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  5.8076E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  5.7436E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  5.6810E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  5.6199E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  5.5601E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  5.5016E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  5.4444E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  5.3884E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  5.3336E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  5.2799E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  5.2274E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  5.1759E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  5.1255E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  5.0761E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  5.0276E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  4.9802E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  4.9336E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  4.8880E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  4.8432E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  4.7993E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  4.7562E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  4.7139E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    91.000 MeV  4.6724E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    92.000 MeV  4.6316E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    93.000 MeV  4.5916E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    94.000 MeV  4.5523E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    95.000 MeV  4.5137E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    96.000 MeV  4.4758E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
