   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  2.9955E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  2.8520E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  2.7215E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  2.6023E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  2.4931E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  2.3928E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  2.3003E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  2.2148E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  2.1356E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  2.0620E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  1.9935E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  1.9295E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  1.8696E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  1.8135E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  1.7608E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  1.7113E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  1.6646E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  1.6205E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  1.5788E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  1.5393E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  1.5019E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  1.4664E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  1.4326E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  1.4004E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  1.3697E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  1.3405E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  1.3125E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  1.2858E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  1.2602E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  1.2356E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  1.2121E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  1.1895E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  1.1678E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  1.1470E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  1.1269E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  1.1075E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  1.0889E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  1.0709E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  1.0536E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    54.000 MeV  1.0368E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    55.000 MeV  1.0206E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    56.000 MeV  1.0049E+00  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    57.000 MeV  9.8978E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    58.000 MeV  9.7512E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    59.000 MeV  9.6094E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    60.000 MeV  9.4710E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    61.000 MeV  9.3356E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    62.000 MeV  9.2037E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    63.000 MeV  9.0757E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    64.000 MeV  8.9515E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    65.000 MeV  8.8308E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    66.000 MeV  8.7136E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    67.000 MeV  8.5996E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    68.000 MeV  8.4887E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    69.000 MeV  8.3809E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    70.000 MeV  8.2759E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    71.000 MeV  8.1737E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    72.000 MeV  8.0742E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    73.000 MeV  7.9772E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    74.000 MeV  7.8827E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    75.000 MeV  7.7905E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    76.000 MeV  7.7006E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    77.000 MeV  7.6129E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    78.000 MeV  7.5273E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    79.000 MeV  7.4437E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    80.000 MeV  7.3621E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    81.000 MeV  7.2824E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    82.000 MeV  7.2045E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    83.000 MeV  7.1284E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    84.000 MeV  7.0540E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    85.000 MeV  6.9812E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    86.000 MeV  6.9100E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    87.000 MeV  6.8404E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    88.000 MeV  6.7722E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    89.000 MeV  6.7055E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    90.000 MeV  6.6402E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
