   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  1.8856E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  1.7872E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  1.6993E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  1.6201E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  1.5485E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  1.4833E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  1.4238E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  1.3691E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  1.3187E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  1.2722E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  1.2290E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  1.1888E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  1.1514E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  1.1164E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  1.0835E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  1.0527E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  1.0233E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  9.9553E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  9.6929E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  9.4448E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  9.2097E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  8.9867E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  8.7748E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  8.5732E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  8.3812E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  8.1982E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  8.0234E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    42.000 MeV  7.8563E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    43.000 MeV  7.6966E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    44.000 MeV  7.5435E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    45.000 MeV  7.3969E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    46.000 MeV  7.2562E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    47.000 MeV  7.1211E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    48.000 MeV  6.9913E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    49.000 MeV  6.8665E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    50.000 MeV  6.7463E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    51.000 MeV  6.6306E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    52.000 MeV  6.5192E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    53.000 MeV  6.4116E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
