   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    15.000 MeV  7.4091E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    16.000 MeV  7.0028E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    17.000 MeV  6.6415E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    18.000 MeV  6.3183E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    19.000 MeV  6.0272E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    20.000 MeV  5.7640E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    21.000 MeV  5.5247E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    22.000 MeV  5.3064E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    23.000 MeV  5.1064E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    24.000 MeV  4.9225E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    25.000 MeV  4.7531E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    26.000 MeV  4.5964E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    27.000 MeV  4.4511E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    28.000 MeV  4.3162E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    29.000 MeV  4.1905E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    30.000 MeV  4.0732E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    31.000 MeV  3.9633E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    32.000 MeV  3.8598E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    33.000 MeV  3.7622E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    34.000 MeV  3.6700E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    35.000 MeV  3.5827E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    36.000 MeV  3.4999E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    37.000 MeV  3.4214E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    38.000 MeV  3.3466E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    39.000 MeV  3.2755E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    40.000 MeV  3.2078E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
    41.000 MeV  3.1431E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
