x,y,z,pad,mult,rank
19.6329,19.8025,1003.4,754,1,0
73.6235,22.704,988.649,798,1,0
171.788,19.8703,499.304,861,1,0
-186.513,28.3716,531.723,899,1,0
-147.247,28.3716,537.729,907,1,0
-115.344,26.9547,211.092,928,1,0
-115.344,32.5545,210.906,929,1,0
-103.073,28.3038,388.076,939,1,0
-98.1647,31.2053,297.647,943,2,0
-98.1647,31.2053,236.762,943,2,1
-95.7106,32.5545,297.659,945,2,0
-95.7106,32.5545,242.247,945,2,1
-90.8024,32.5545,305.314,948,2,0
-90.8024,32.5545,210.392,948,2,1
-88.3482,28.3038,173.821,950,1,0
-88.3482,31.2053,301.919,951,2,0
-88.3482,31.2053,239.009,951,2,1
-85.8941,32.5545,277.857,953,1,0
-83.44,28.3038,383.218,955,1,0
-78.5318,28.3038,403.672,958,2,0
-78.5318,28.3038,261.581,958,2,1
-76.0777,26.9547,263.078,960,1,0
-73.6235,31.2053,262.682,962,1,0
-73.6235,28.3038,327.269,963,1,0
-71.1694,32.5545,328.582,964,2,0
-71.1694,32.5545,370.914,964,2,1
-66.2612,26.9547,364.85,968,2,0
-66.2612,26.9547,272.828,968,2,1
-63.8071,31.2053,265.454,970,2,0
-63.8071,31.2053,365.167,970,2,1
-61.353,26.9547,326.742,973,1,0
-56.4447,32.5545,406.966,977,1,0
-49.0824,28.3038,362.591,982,1,0
-17.1788,26.9547,422.229,1008,2,0
-17.1788,26.9547,328.07,1008,2,1
-14.7247,31.2053,511.523,1010,1,0
-12.2706,32.5545,465.538,1012,1,0
-12.2706,26.9547,460.147,1013,1,0
-9.81648,28.3038,478.331,1014,1,0
-7.36236,26.9547,496.425,1016,1,0
-7.36237,32.5545,461.56,1017,1,0
-4.90825,28.3038,509.456,1019,1,0
-2.45413,26.9547,507.472,1021,1,0
-1.33514e-05,31.2053,552.946,1023,1,0
49.0824,28.3038,990.008,1062,1,0
-93.2565,36.8052,296.728,1224,1,0
-93.2565,39.7067,297.084,1225,1,0
-90.8024,41.0558,297.671,1227,1,0
-88.3483,39.7067,212.638,1228,1,0
-88.3483,36.8052,213.499,1229,2,0
-88.3483,36.8052,305.042,1229,2,1
-85.8941,41.0558,234.169,1230,2,0
-85.8941,41.0558,304.093,1230,2,1
-85.8941,35.456,239.155,1231,2,0
-85.8941,35.456,302.33,1231,2,1
-83.44,39.7067,299.553,1233,2,0
-83.44,39.7067,240.561,1233,2,1
-76.0777,35.456,405.048,1239,2,0
-76.0777,35.456,261.151,1239,2,1
-73.6235,36.8052,266.788,1240,2,0
-73.6235,36.8052,382.582,1240,2,1
-71.1694,35.456,396.748,1242,1,0
-68.7153,36.8052,327.478,1245,1,0
-22.0871,41.0558,438.15,1283,1,0
-4.90825,36.8052,496.001,1296,1,0
44.1741,36.8052,364.045,1336,1,0
-53.9906,45.3065,448.003,1528,1,0
-9.81648,45.3065,459.517,1563,1,0
-1.14441e-05,45.3065,460.428,1571,1,0
122.706,45.3065,988.754,1672,1,0
-56.4447,58.0584,655.101,1790,1,0
-39.2659,56.7093,439.206,1804,1,0
-39.2659,53.8078,589.364,1805,1,0
-14.7247,56.7093,494.984,1825,1,0
46.6282,52.4586,848.201,1874,1,0
68.7153,53.8078,841.418,1893,1,0
117.798,53.8078,392.278,1933,1,0
-7.36236,60.9599,479.321,2089,1,0
-4.90825,62.3091,478.836,2092,1,0
-1.14441e-05,62.3091,480.15,2095,1,0
-240.504,70.8781,393.825,2228,1,0
-66.2612,75.0611,425.144,2293,1,0
-61.3529,75.0611,426.975,2298,1,0
-58.8988,73.7119,426.192,2299,1,0
-56.4447,75.0611,439.829,2301,1,0
-9.81648,73.7119,495.397,2339,1,0
-7.36236,75.0611,511.077,2341,1,0
-4.90824,70.8104,532.972,2343,1,0
53.9906,73.7119,406.911,2392,1,0
58.8988,73.7119,342.479,2395,1,0
98.1647,70.8104,969.841,2428,1,0
220.871,70.8781,364.01,2463,1,0
-142.339,82.3487,829.181,2496,1,0
-61.3529,83.5624,578.775,2542,1,0
-49.0824,82.2132,549.385,2553,1,0
-9.81648,82.2132,495.305,2585,1,0
49.0824,82.2132,351.378,2633,1,0
-147.247,90.85,843.343,2736,1,0
-95.7106,86.4639,819.844,2753,1,0
-83.44,90.7145,439.585,2763,1,0
-80.9859,86.4639,440.505,2764,1,0
-17.1788,86.4639,278.312,2817,1,0
-12.2706,92.0637,495.352,2821,1,0
-7.62939e-06,87.813,495.349,2831,1,0
95.7106,86.4639,967.935,2908,1,0
147.247,90.85,356.11,2925,1,0
-186.513,96.3821,836.327,2961,1,0
-95.7106,94.9652,821.898,2982,1,0
-78.5318,99.2159,439.9,2997,1,0
-76.0777,100.565,440.442,2999,1,0
12.2706,100.565,266.386,3071,1,0
17.1788,100.565,266.215,3074,1,0
68.7153,99.2159,428.591,3117,1,0
-61.3529,103.467,563.779,3233,1,0
-44.1741,104.816,549.133,3247,1,0
191.421,104.883,392.329,3381,1,0
-41.72,117.568,337.569,3465,1,0
-73.6235,121.818,551.383,3647,1,0
-22.0871,120.469,867.519,3689,1,0
-211.054,133.357,817.953,3815,1,0
-127.614,130.387,838.743,3832,1,0
147.247,130.387,526.184,3987,1,0
53.9906,138.889,505.511,4064,1,0
206.146,141.858,549.476,4095,1,0
-49.0824,158.861,352.071,4229,1,0
-49.0824,164.393,340.401,4319,1,0
-34.3576,167.362,824.126,4322,1,0
9.81647,164.393,506.028,4331,1,0
34.3576,167.362,544.24,4336,1,0
49.0823,164.393,485.537,4339,1,0
103.073,172.894,509.571,4437,1,0
-29.4494,181.395,811.554,4494,1,0
-152.155,189.897,833.435,4550,1,0
44.1741,189.897,508.374,4590,1,0
137.431,209.868,514.175,4762,1,0
-78.5318,215.4,336.942,4788,1,0
-24.5412,240.904,797.281,4981,1,0
58.8988,243.874,512.496,4998,1,0
-78.5318,-5.70141,558.937,5205,1,0
-53.9906,-5.70141,571.664,5226,1,0
-44.1741,-5.70141,174.158,5234,1,0
-41.72,-1.45075,194.624,5235,2,0
-41.72,-1.45075,157.775,5235,2,1
-41.72,-7.05056,194.354,5236,1,0
-34.3577,-5.70141,157.987,5242,1,0
-29.4494,-2.7999,224.056,5246,2,0
-29.4494,-2.7999,157.054,5246,2,1
-22.0871,-7.05056,158.207,5252,2,0
-22.0871,-7.05056,224.912,5252,2,1
-12.2706,-1.45075,158.225,5259,1,0
-9.81648,-2.7999,157.267,5262,1,0
39.2659,-2.7999,557.786,5302,1,0
44.1741,-2.7999,553.272,5305,1,0
44.1741,-5.70141,551.999,5306,1,0
46.6282,-1.45075,553.143,5307,1,0
120.252,-7.05056,500.687,5367,1,0
255.228,-5.83687,326.004,5416,1,0
260.136,-2.86764,317.952,5417,1,0
265.045,-5.83687,313.677,5418,1,0
269.953,-2.86764,312.57,5419,1,0
-100.619,-9.95207,560.589,5485,1,0
-44.1741,-11.3012,174.105,5531,1,0
-36.8118,-9.95207,173.765,5536,1,0
-36.8118,-15.5519,372.791,5537,1,0
-34.3577,-11.3012,157.122,5539,1,0
56.4447,-9.95207,537.916,5613,1,0
58.8988,-11.3012,536.285,5614,1,0
61.3529,-9.95207,533.94,5616,1,0
63.8071,-11.3012,531.691,5619,1,0
68.7153,-11.3012,526.176,5622,1,0
68.7153,-14.2027,525.659,5623,1,0
71.1694,-15.5519,522.17,5625,1,0
73.6235,-14.2027,519.433,5626,1,0
76.0776,-15.5519,514.64,5628,1,0
78.5318,-14.2027,513.54,5631,1,0
80.9859,-15.5519,512.804,5633,1,0
88.3483,-14.2027,505.881,5639,1,0
220.871,-14.3382,358.569,5703,1,0
230.687,-14.3382,351.215,5705,1,0
240.504,-14.3382,340.657,5707,1,0
245.412,-11.369,335.07,5708,1,0
-98.1647,-19.8025,561.352,5778,1,0
-24.5412,-19.8025,402.963,5837,1,0
-19.6329,-22.704,338.561,5841,1,0
-9.81648,-19.8025,442.56,5850,1,0
9.81648,-19.8025,327.032,5866,1,0
46.6282,-24.0532,472.138,5896,1,0
76.0776,-18.4534,514.477,5919,1,0
80.9859,-18.4534,511.683,5924,1,0
83.44,-19.8025,508.548,5925,1,0
85.8941,-18.4534,507.235,5927,1,0
88.3483,-19.8025,502.653,5930,1,0
90.8024,-18.4534,501.551,5932,1,0
93.2565,-19.8025,495.75,5933,1,0
95.7106,-18.4534,493.667,5935,1,0
95.7106,-24.0532,493.424,5936,1,0
98.1647,-22.704,493.464,5937,1,0
98.1647,-19.8025,492.574,5938,1,0
103.073,-22.704,487.309,5942,1,0
105.527,-24.0532,483.252,5944,1,0
107.981,-22.704,481.045,5945,1,0
110.435,-24.0532,477.765,5947,1,0
115.344,-24.0532,474.045,5952,1,0
120.252,-24.0532,470.008,5955,1,0
122.706,-22.704,466.175,5958,1,0
186.513,-22.8395,400.104,5984,1,0
196.329,-22.8395,388.523,5986,1,0
201.238,-19.8703,383.352,5987,1,0
