eid,x,y,z,q
2,-88.3482,104.816,240.199,1794.91
2,-88.3482,99.2159,239.566,2814.81
2,-93.2565,107.717,237.189,2690.36
2,90.8023,83.5624,237.919,456.855
2,-56.4447,52.4586,236.369,118.404
2,-90.8024,111.968,235.518,2609.27
2,95.7106,83.5624,234.804,730.314
2,-78.5318,104.816,235.774,517.03
2,93.2565,82.2132,232.851,1289.08
2,-63.8071,65.2106,231.347,254.747
2,-44.1741,53.8078,231.102,1614.31
2,-56.4447,69.4613,228.439,2177.56
2,-58.8988,56.7093,228.113,190.181
2,-68.7153,70.8104,225.977,133.183
2,-29.4494,31.2053,225.309,542.558
2,-83.44,104.816,225.314,2247.46
2,-39.2659,39.7067,223.914,3489.47
2,-49.0823,62.3091,225.283,2018.92
2,-88.3482,113.317,225.076,1973.2
2,-71.1694,75.0611,224.354,125.938
2,-78.5318,79.3117,223.563,88.4563
2,-34.3576,36.8052,221.344,3025.2
2,-46.6282,58.0584,220.505,692.986
2,-85.8941,117.568,221.435,1227.3
2,-58.8988,65.2106,217.418,863.523
2,-93.2565,116.354,216.571,116.994
2,-88.3482,116.218,215.68,163.216
2,-36.8118,41.0558,215.725,2330.87
2,-63.8071,70.8104,213.484,134.688
2,93.2565,79.3117,213.727,1080.37
2,-34.3576,39.7067,207.525,3774.29
2,-39.2659,45.3065,208.441,534.823
2,98.1647,79.3117,206.617,134.86
2,-85.8941,111.968,206.621,747.384
2,-51.5365,60.9599,204.723,211.937
2,95.7106,77.9626,203.26,1043.67
2,90.8023,77.9626,202.542,112.391
2,-39.2659,53.8078,200.81,782.586
2,-41.72,49.5571,201.305,318.974
2,-44.1741,36.8052,194.724,1473.34
2,-83.44,113.317,195.438,325.325
2,-90.8024,109.066,195.626,504.81
2,90.8023,75.0611,191.403,110.53
2,-31.9035,32.5545,191.921,160.649
2,-41.72,43.9573,191.721,162.236
2,95.7106,75.0611,187.82,985.658
2,-78.5318,87.813,185.851,1771
2,-41.72,41.0558,186.188,650.253
2,-26.9953,26.9547,186.42,1511.08
2,-31.9035,35.456,183.637,2786.67
2,98.1647,73.7119,180.108,127.569
2,93.2565,73.7119,181.485,754.321
2,-73.6235,82.2132,178.25,2514.92
2,-56.4447,66.5598,179.129,185.961
2,-68.7153,90.7145,178.459,1933.04
2,-76.0776,86.4639,179.66,2415.58
2,-49.0824,70.8104,178.806,906.566
2,-44.1741,45.3065,177.314,533.295
2,-71.1694,77.9626,176.308,75.2419
2,-66.2612,86.4639,174.131,2374.54
2,-36.8118,49.5571,172.052,476.778
2,-31.9035,41.0558,172.214,3076.67
2,-68.7153,82.2132,171.557,243.105
2,-39.2659,56.7093,167.819,280.817
2,-61.3529,75.0611,168.416,97.64
2,-36.8118,43.9573,167.504,3023.59
2,-24.5412,28.3038,166.31,308.357
2,98.1647,70.8104,166.582,160.599
2,-61.3529,60.9599,166.648,117.234
2,-34.3576,45.3065,165.474,1855.12
2,-46.6282,66.5598,164.963,1495.14
2,-24.5412,31.2053,163.861,1469.37
2,93.2565,70.8104,162.125,887.3
2,-73.6235,87.813,160.945,130.762
2,90.8023,69.4613,160.311,191.701
2,95.7106,69.4613,160.42,1057.48
2,-68.7153,87.813,161.189,769.708
2,-76.0776,83.5624,161.322,684.266
2,-71.1694,86.4639,156.805,108.524
2,-31.9035,43.9573,155.389,3553.53
2,-29.4494,36.8052,151.435,2188.58
2,-49.0823,65.2106,148.526,327.184
2,-71.1694,83.5624,146.168,825.46
2,-22.0871,26.9547,147.221,2538.25
2,90.8024,66.5598,143.948,248.358
2,95.7106,66.5598,139.421,973.603
2,93.2565,65.2106,135.83,1099.81
2,-29.4494,39.7067,134.95,2198.09
2,-66.2612,77.9626,135.515,1787.22
2,98.1647,65.2106,135.742,257.793
2,-26.9953,32.5545,133.727,833.065
2,-39.2659,48.208,133.985,756.708
2,-26.9953,35.456,130.04,284.9
2,-63.8071,82.2132,126.771,2639.14
2,-66.2612,83.5624,126.196,2722.09
2,-44.1741,62.3091,126.556,626.569
2,-68.7153,73.7119,126.903,1273.93
2,-63.8071,73.7119,126.95,521.677
2,-68.7153,79.3117,124.976,596.311
2,93.2565,62.3091,123.911,1213.31
2,98.1647,62.3091,125.066,187.05
2,-41.72,58.0584,125.174,985.721
2,-29.4494,45.3065,125.345,3476.44
2,-71.1694,92.0637,124.517,904.451
2,-17.1788,24.0532,124.246,165.068
2,-46.6282,52.4586,120.376,109.766
2,-36.8118,52.4586,118.486,491.862
2,-34.3576,48.208,117.346,1863.45
2,-51.5365,66.5598,116.414,164.976
2,95.7106,60.9599,115.454,809.015
2,-44.1741,56.7093,115.471,334.904
2,-76.0777,92.0637,113.986,115.669
2,-22.0871,32.5545,113.034,266.48
2,-26.9953,43.9573,110.309,3740.18
3,53.9906,5.70141,373.781,210.915
3,39.2659,-11.3012,373.069,90.5654
3,88.3483,22.704,373.088,124.124
3,90.8024,26.9547,372.745,100.128
3,78.5318,19.8025,372.736,131.632
3,51.5365,7.05056,373.269,822.238
3,78.5318,14.2027,373.596,99.9753
3,49.0824,11.3012,372.753,3287.69
3,95.7106,18.4534,373.458,123.685
3,78.5318,11.3012,373.699,83.6552
3,51.5365,15.5519,372.927,2870.3
3,53.9906,14.2027,373.138,3568.66
3,56.4447,7.05056,373.84,165.103
3,56.4447,15.5519,373.323,3030.05
3,53.9906,11.3012,372.915,1802.05
3,58.8988,11.3012,373.24,158.736
3,93.2565,31.2053,372.991,105.742
3,95.7106,32.5545,373.013,98.5907
3,63.8071,19.8025,373.712,333.515
3,61.3529,15.5519,373.371,249.535
3,26.9953,18.4534,372.795,104.783
3,56.4447,9.95207,372.955,437.732
3,58.8988,14.2027,373.323,904.98
3,41.72,1.45075,371.497,858.654
3,34.3577,2.7999,371.225,1910.67
3,36.8118,1.45075,371.202,1788.2
3,85.8941,24.0532,372.189,119.381
3,39.2659,2.7999,371.437,1978.5
3,36.8118,9.95207,371.941,127.997
3,46.6282,9.95207,372.549,2516.26
3,44.1741,5.70141,372.038,2163.01
3,71.1694,9.95207,371.459,89.8264
3,58.8988,22.704,372.134,2379.95
3,46.6282,1.45075,372.678,227.596
3,34.3577,-2.7999,371.242,289.91
3,26.9953,7.05056,371.12,125.907
3,68.7153,11.3012,371.246,92.4192
3,39.2659,11.3012,371.924,104.136
3,29.4494,-5.70141,371.244,117.378
3,51.5365,9.95207,372.608,2840.56
