eid,x,y,z,q
1,39.2659,-36.8052,868.199,482.75
1,39.2659,-39.7067,866.27,420.85
1,44.1741,-39.7067,866.352,523.1
1,12.2706,-15.5519,846.167,147.7
1,41.72,-35.456,846.268,84.6
1,36.8118,-35.456,846.372,191.45
1,41.72,-41.0558,846.236,96.65
1,12.2706,-18.4534,846.34,1853.4
1,34.3577,-45.3065,844.348,220.65
1,22.0871,-32.5545,844.384,63.4
1,14.7247,-22.704,846.464,154.2
1,2.45413,-18.4534,800.925,263.45
1,2.45413,-32.5545,800.895,88
1,9.81648,-19.8025,798.959,1208.05
1,2.4541,-35.456,770.029,140.1
1,9.81648,-22.704,748.086,184.95
1,-17.1788,86.4639,582.114,31.95
1,51.5365,9.95207,552.056,37
1,122.706,45.3065,544.806,33.3
1,7.36234,77.9626,545.735,35.9
1,-2.45413,35.456,543.937,29.85
1,98.1647,19.8025,539.358,33.8
1,-2.45413,52.4586,540.306,26.85
1,2.4541,52.4586,538.513,39.1
1,49.0824,28.3038,533.777,30.35
1,73.6235,22.704,530.262,27.2
1,17.1788,100.565,529.269,34.5
1,76.0776,15.5519,524.773,37.15
1,-2.45412,100.565,523.795,31.1
1,12.2706,100.565,525.792,40.35
1,125.16,24.0532,513.825,39.5
1,93.2565,31.2053,493.85,28.95
1,49.0824,82.2132,463.372,33.8
1,-9.81648,-19.8025,461.434,37
1,53.9906,73.7119,459.715,36.25
1,68.7153,99.2159,455.999,34.8
1,-100.619,-94.9652,452.675,38.1
1,-19.6329,-22.704,452.667,33.55
1,-39.2659,-39.7067,449.027,35.9
1,58.8988,-79.3117,446.208,41.15
1,-58.8988,-87.813,443.636,36.7
1,-63.8071,-39.7067,443.636,34.8
1,68.7153,-62.3091,440.861,43.15
1,-71.1694,-109.066,441.871,34.45
1,-49.0824,164.393,433.225,35.1
1,46.6282,-60.9599,431.836,33
1,-49.0824,28.3038,430.909,33.95
1,44.1741,-155.891,429.189,36.4
1,-7.36236,-26.9547,425.253,38.25
1,220.871,70.8781,421.864,33.3
1,-90.8024,41.0558,421.818,34.05
1,-53.9906,45.3065,422.068,36.05
1,191.421,-99.3513,409.479,35.85
1,-26.9953,-134.57,407.559,38.3
1,68.7153,53.8078,406.672,33.7
1,-36.8118,-15.5519,404.135,36.75
1,49.0824,-14.2027,404.43,32.1
1,-7.36236,-100.565,401.705,40.5
1,73.6235,-130.32,403.034,34.7
1,17.1788,-41.0558,404.38,28.6
1,191.421,104.883,401.786,33.1
1,-24.5412,-19.8025,400.237,39.1
1,230.687,-121.886,402.187,31.05
1,-14.7247,-206.899,400.997,33.75
1,147.247,90.85,398.148,36.3
1,93.2565,-53.8078,397.914,41.7
1,-171.788,-184.364,397.437,35.3
1,206.146,-62.3768,395.954,67.2
1,-51.5365,9.95207,396.851,38.3
1,68.7153,-147.39,394.506,33.25
1,137.431,-96.3821,394.843,33.55
1,24.5412,-201.367,396.503,37.45
1,-78.5318,215.4,395.051,34.3
1,-240.504,70.8781,396.626,34.1
1,-88.3482,11.3012,393.309,34.45
1,-166.88,11.369,394.548,32.6
1,-152.155,-138.889,392.053,34.8
1,196.329,-22.8395,392.208,37.3
1,-132.522,-116.354,390.307,35.6
1,-83.44,-28.3038,387.561,35.9
1,117.798,53.8078,386.68,38.55
1,-171.788,19.8703,391.186,35.35
1,-103.073,28.3038,388.098,39.15
1,-152.155,-121.886,388.403,35.1
1,29.4494,-141.858,389.153,32.05
1,7.36235,-100.565,387.06,39.05
1,31.9035,-69.4613,386.293,33.1
1,-12.2706,-1.45075,386.022,38.45
1,58.8988,73.7119,384.924,35.25
1,-215.962,22.8395,385.644,35.15
1,-41.72,117.568,383.518,36.85
1,122.706,-189.897,381.818,32.8
1,44.1741,36.8052,379.341,36.45
1,-78.5318,-31.2053,376.765,34.4
1,46.6282,52.4586,377.651,36
1,147.247,11.3012,373.475,30.95
1,171.788,2.86764,374.019,32
1,-29.4494,-141.858,371.759,36.85
1,53.9906,-133.221,370.292,38.8
1,-3.8147e-06,-243.874,370.99,32.2
1,4.90822,-39.7067,367.059,39.1
1,132.522,-116.354,363.953,34.95
1,196.329,-5.83687,366.87,33.05
1,250.32,-2.86764,366.68,33.15
1,186.513,-164.393,363.992,33.8
1,78.5318,-82.2132,363.31,40.1
1,-49.0824,158.861,358.764,35.5
1,-71.1694,32.5545,358.47,36.3
1,161.972,-65.3461,343.197,34.95
1,71.1694,-69.4613,337.968,42.55
1,-14.7247,-116.218,336.246,38.05
1,-12.2706,-120.469,336.261,40.25
1,110.435,-49.5571,339.199,38
1,46.6282,-24.0532,335.391,35.25
1,98.1647,-19.8025,333.441,40.25
1,-7.62939e-06,-87.813,334.331,37.2
1,137.431,209.868,333.639,35.05
1,103.073,172.894,333.706,32.3
1,-9.81648,-232.403,333.673,45.85
1,147.247,130.387,332.807,31.5
1,76.0776,-15.5519,329.942,41.65
1,120.252,-7.05056,326.134,40.7
1,-245.412,-62.3768,325.65,67.2
1,-14.7247,-79.3117,319.881,41.85
1,171.788,19.8703,317.627,36.45
1,83.44,-28.3038,315.434,36.5
1,49.0823,164.393,306.496,30.75
1,-49.0824,82.2132,299.52,32.55
1,88.3483,-14.2027,300.854,38.85
1,58.8988,243.874,299.089,32.1
1,53.9906,138.889,301.076,34.95
1,17.1788,-60.9599,297.465,36.5
1,9.81647,164.393,291.912,34.85
1,24.5412,-87.813,287.163,33.55
1,44.1741,189.897,286.366,34.2
1,34.3576,167.362,284.481,32.45
1,-186.513,28.3716,287.518,34.05
1,95.7106,86.4639,277.655,40.9
1,98.1647,70.8104,277.678,51
1,206.146,141.858,278.297,32.25
1,-147.247,28.3716,271.091,34.75
1,-44.1741,104.816,259.574,34.15
1,-39.2659,53.8078,257.734,41.45
1,-58.8988,73.7119,257.785,37.05
1,-61.3529,83.5624,257.69,35.5
1,-73.6235,121.818,255.956,33.75
1,-56.4447,58.0584,254.037,40.45
1,-98.1647,-19.8025,249.587,37.3
1,-61.3529,103.467,246.851,34.6
1,-171.788,2.86764,249.335,31.2
1,-100.619,-9.95207,235.018,37.55
1,-53.9906,-5.70141,225.919,33.5
1,-78.5318,-5.70141,184.027,42
1,-95.7106,94.9652,150.1,20.6
1,-68.7153,-121.818,145.829,21.55
1,-127.614,130.387,128.862,20.25
1,-112.889,-56.7093,125.992,22.45
1,-186.513,96.3821,119.9,20.1
1,-56.4447,-128.97,113.108,24.95
1,-95.7106,86.4639,111.951,21.05
2,98.1647,19.8025,822.995,29.95
2,73.6235,-130.32,806.67,21.65
2,-41.72,117.568,805.336,26.05
2,-2.45412,100.565,801.976,26.9
2,220.871,70.8781,801.864,27.4
2,-78.5318,215.4,796.869,26.4
2,53.9906,-133.221,793.928,27.15
2,-171.788,-184.364,791.983,26.3
2,-240.504,70.8781,791.171,25.05
2,125.16,24.0532,781.098,27.55
2,-132.522,-116.354,784.852,24.6
2,44.1741,-155.891,783.735,28.5
2,53.9906,73.7119,781.533,35
2,76.0776,15.5519,777.5,35.25
2,17.1788,-41.0558,778.926,25
2,31.9035,-69.4613,779.021,29.9
2,-152.155,-138.889,777.507,25.3
2,51.5365,9.95207,773.874,27.4
2,-7.36236,-100.565,774.432,31.35
