psa,x,y,z,pad,mult,rank
max,-51.5365,9.95207,609.92,405,1,0
max,-49.0824,11.3012,609.92,406,1,0
max,-49.0824,14.2027,609.92,407,1,0
max,-46.6282,15.5519,609.92,409,1,0
max,-44.1741,14.2027,609.92,410,1,0
max,-41.72,15.5519,609.92,412,1,0
max,-36.8118,9.95207,562.08,416,1,0
max,-34.3577,14.2027,562.08,418,1,0
max,-34.3577,11.3012,563.92,419,1,0
max,-31.9035,15.5519,562.08,420,1,0
max,-31.9035,9.95207,562.08,421,1,0
max,-29.4494,11.3012,562.08,422,1,0
max,-29.4494,14.2027,562.08,423,1,0
max,-26.9953,9.95207,648.56,424,1,0
max,-26.9953,15.5519,563.92,425,1,0
max,-24.5412,14.2027,563.92,426,1,0
max,-22.0871,9.95207,508.72,429,1,0
max,-19.6329,11.3012,510.56,430,1,0
max,-19.6329,14.2027,508.72,431,1,0
max,-17.1788,15.5519,510.56,433,1,0
max,51.5365,9.95207,280.56,488,1,0
max,76.0776,15.5519,234.56,508,1,0
max,147.247,11.3012,494,566,1,0
max,-215.962,22.8395,1014.72,605,1,0
max,-166.88,22.8395,427.76,615,1,0
max,-161.972,19.8703,427.76,616,1,0
max,-157.064,22.8395,433.28,617,1,0
max,-152.155,19.8703,494,618,1,0
max,-147.247,22.8395,488.48,619,1,0
max,-144.793,18.4534,488.48,620,1,0
max,-142.339,22.704,543.68,622,1,0
max,-139.885,18.4534,543.68,623,1,0
max,-139.885,24.0532,541.84,624,1,0
max,-137.431,22.704,543.68,625,1,0
max,-137.431,19.8025,543.68,626,1,0
max,-134.976,24.0532,543.68,627,1,0
max,-134.976,18.4534,543.68,628,1,0
max,-132.522,19.8025,543.68,629,1,0
max,-130.068,18.4534,543.68,631,1,0
max,-127.614,22.704,600.72,633,1,0
max,-127.614,19.8025,545.52,634,1,0
max,-125.16,24.0532,598.88,635,1,0
max,-125.16,18.4534,600.72,636,1,0
max,-122.706,19.8025,600.72,637,1,0
max,-122.706,22.704,600.72,638,1,0
max,-120.252,18.4534,600.72,639,1,0
max,-120.252,24.0532,600.72,640,1,0
max,-117.798,22.704,600.72,641,1,0
max,-117.798,19.8025,600.72,642,1,0
max,-115.344,18.4534,600.72,644,1,0
max,-112.889,19.8025,600.72,645,1,0
max,-110.435,18.4534,600.72,647,1,0
max,-100.619,24.0532,644.88,656,1,0
max,-98.1647,22.704,644.88,657,1,0
max,-95.7106,24.0532,644.88,659,1,0
max,-93.2565,22.704,644.88,662,1,0
max,-90.8024,24.0532,646.72,664,1,0
max,-88.3482,22.704,646.72,665,1,0
max,-85.8941,24.0532,646.72,667,1,0
max,-83.44,22.704,646.72,670,1,0
max,-80.9859,24.0532,648.56,672,1,0
max,-78.5318,22.704,648.56,673,1,0
max,-76.0777,24.0532,648.56,675,1,0
max,-73.6235,22.704,648.56,678,1,0
max,-71.1694,24.0532,648.56,680,1,0
max,-51.5365,18.4534,609.92,695,1,0
max,-49.0824,22.704,609.92,697,1,0
max,-49.0824,19.8025,609.92,698,1,0
max,-46.6282,24.0532,611.76,699,1,0
max,-46.6282,18.4534,609.92,700,1,0
max,-44.1741,19.8025,609.92,701,1,0
max,-44.1741,22.704,609.92,702,1,0
max,-41.72,18.4534,609.92,703,1,0
max,-41.72,24.0532,609.92,704,1,0
max,-39.2659,22.704,611.76,705,1,0
