pad,x,y
1030,9.81648,28.3038
1031,9.81648,31.2053
1032,12.2706,26.9547
1033,12.2706,32.5545
1034,14.7247,31.2053
1035,14.7247,28.3038
1036,17.1788,32.5545
1037,17.1788,26.9547
1038,19.6329,28.3038
1039,19.6329,31.2053
1040,22.0871,26.9547
1041,22.0871,32.5545
1042,24.5412,31.2053
1043,24.5412,28.3038
1044,26.9953,32.5545
1045,26.9953,26.9547
1046,29.4494,28.3038
1047,29.4494,31.2053
1048,31.9035,26.9547
1049,31.9035,32.5545
1050,34.3577,31.2053
1051,34.3577,28.3038
1052,36.8118,32.5545
1053,36.8118,26.9547
1054,39.2659,28.3038
1055,39.2659,31.2053
1056,41.72,26.9547
1057,41.72,32.5545
1058,44.1741,31.2053
1059,44.1741,28.3038
1060,46.6282,32.5545
1061,46.6282,26.9547
1062,49.0824,28.3038
1063,49.0824,31.2053
1064,51.5365,26.9547
1065,51.5365,32.5545
1066,53.9906,31.2053
1067,53.9906,28.3038
1068,56.4447,32.5545
1069,56.4447,26.9547
1070,58.8988,28.3038
1071,58.8988,31.2053
1072,61.3529,26.9547
1073,61.3529,32.5545
1074,63.8071,31.2053
1075,63.8071,28.3038
1076,66.2612,32.5545
1077,66.2612,26.9547
1078,68.7153,28.3038
1079,68.7153,31.2053
1080,71.1694,26.9547
1081,71.1694,32.5545
1082,73.6235,31.2053
1083,73.6235,28.3038
1084,76.0776,32.5545
1085,76.0776,26.9547
1086,78.5318,28.3038
1087,78.5318,31.2053
1088,80.9859,26.9547
1089,80.9859,32.5545
1090,83.44,31.2053
1091,83.44,28.3038
1092,85.8941,32.5545
1093,85.8941,26.9547
1094,88.3483,28.3038
1095,88.3483,31.2053
1096,90.8024,26.9547
1097,90.8024,32.5545
1098,93.2565,31.2053
1099,93.2565,28.3038
1100,95.7106,32.5545
1101,95.7106,26.9547
1102,98.1647,28.3038
1103,98.1647,31.2053
1104,100.619,26.9547
1105,100.619,32.5545
1106,103.073,31.2053
1107,103.073,28.3038
1108,105.527,32.5545
1109,105.527,26.9547
1112,110.435,26.9547
1114,112.889,31.2053
1115,112.889,28.3038
1116,115.344,32.5545
1117,115.344,26.9547
1118,117.798,28.3038
1119,117.798,31.2053
1120,120.252,26.9547
1121,120.252,32.5545
1122,122.706,31.2053
1123,122.706,28.3038
1124,125.16,32.5545
1125,125.16,26.9547
1126,127.614,28.3038
1127,127.614,31.2053
1128,130.068,26.9547
1129,130.068,32.5545
1130,132.522,31.2053
1131,132.522,28.3038
1132,134.976,32.5545
1133,134.976,26.9547
1134,137.431,28.3038
1135,137.431,31.2053
1136,139.885,26.9547
1137,142.339,31.3408
1138,147.247,28.3716
1139,152.155,31.3408
1140,157.064,28.3716
1141,161.972,31.3408
1142,166.88,28.3716
1143,171.788,31.3408
1144,176.697,28.3716
1145,181.605,31.3408
1147,191.421,31.3408
1148,196.329,28.3716
1149,201.238,31.3408
1152,215.962,28.3716
1153,220.871,31.3408
1157,240.504,31.3408
1159,250.32,31.3408
1164,-265.045,39.8421
1165,-260.136,36.8729
1166,-255.228,39.8421
1167,-250.32,36.8729
1168,-245.412,39.8421
1170,-235.595,39.8421
1183,-171.788,36.8729
1184,-166.88,39.8421
1185,-161.972,36.8729
1186,-157.064,39.8421
1187,-152.155,36.8729
1188,-147.247,39.8421
1189,-142.339,36.8729
1190,-137.431,39.8421
1191,-134.976,35.456
1192,-132.522,36.8052
1193,-132.522,39.7067
1194,-130.068,35.456
1195,-130.068,41.0558
1196,-127.614,39.7067
1197,-127.614,36.8052
1198,-125.16,41.0558
1199,-125.16,35.456
1200,-122.706,36.8052
1201,-122.706,39.7067
1203,-120.252,41.0558
1204,-117.798,39.7067
1205,-117.798,36.8052
1206,-115.344,41.0558
1207,-115.344,35.456
1208,-112.889,36.8052
1209,-112.889,39.7067
1210,-110.435,35.456
1211,-110.435,41.0558
1212,-107.981,39.7067
1213,-107.981,36.8052
1214,-105.527,41.0558
1215,-105.527,35.456
1216,-103.073,36.8052
1217,-103.073,39.7067
1218,-100.619,35.456
1219,-100.619,41.0558
1220,-98.1647,39.7067
1221,-98.1647,36.8052
1222,-95.7106,41.0558
1223,-95.7106,35.456
1224,-93.2565,36.8052
1225,-93.2565,39.7067
1226,-90.8024,35.456
1227,-90.8024,41.0558
1228,-88.3483,39.7067
1229,-88.3483,36.8052
1230,-85.8941,41.0558
1231,-85.8941,35.456
1232,-83.44,36.8052
1233,-83.44,39.7067
1234,-80.9859,35.456
1235,-80.9859,41.0558
1236,-78.5318,39.7067
1237,-78.5318,36.8052
1238,-76.0777,41.0558
1239,-76.0777,35.456
1240,-73.6235,36.8052
1241,-73.6235,39.7067
1242,-71.1694,35.456
1243,-71.1694,41.0558
1244,-68.7153,39.7067
1245,-68.7153,36.8052
1246,-66.2612,41.0558
1247,-66.2612,35.456
1248,-63.8071,36.8052
1249,-63.8071,39.7067
1250,-61.353,35.456
1251,-61.3529,41.0558
1252,-58.8988,39.7067
1253,-58.8988,36.8052
1254,-56.4447,41.0558
1255,-56.4447,35.456
1256,-53.9906,36.8052
1257,-53.9906,39.7067
1258,-51.5365,35.456
1259,-51.5365,41.0558
1260,-49.0823,39.7067
1261,-49.0823,36.8052
1262,-46.6282,41.0558
1263,-46.6282,35.456
1264,-44.1741,36.8052
1265,-44.1741,39.7067
1266,-41.72,35.456
1267,-41.72,41.0558
1268,-39.2659,39.7067
1269,-39.2659,36.8052
1270,-36.8118,41.0558
1271,-36.8118,35.456
1272,-34.3576,36.8052
1273,-34.3576,39.7067
1274,-31.9035,35.456
1275,-31.9035,41.0558
1276,-29.4494,39.7067
1277,-29.4494,36.8052
1278,-26.9953,41.0558
1279,-26.9953,35.456
1280,-24.5412,36.8052
1281,-24.5412,39.7067
1282,-22.0871,35.456
1283,-22.0871,41.0558
1284,-19.6329,39.7067
1285,-19.6329,36.8052
1286,-17.1788,41.0558
1287,-17.1788,35.456
1288,-14.7247,36.8052
