tb,adc
442,-1.14999
443,3.85001
444,-0.149994
445,4.85001
446,0.850006
447,-0.149994
448,2.85001
449,0.850006
450,1.85001
451,2.85001
452,-3.14999
453,-2.14999
454,-2.14999
455,-4.14999
456,-2.14999
457,-2.14999
458,-1.14999
459,-2.14999
460,-3.14999
461,-5.14999
462,-0.149994
463,-3.14999
464,-1.14999
465,-2.14999
466,-5.14999
467,-4.14999
468,-5.14999
469,-3.14999
470,-3.14999
471,-2.14999
472,-1.14999
473,-3.14999
474,1.85001
475,0.850006
476,-1.14999
477,1.85001
478,7.85001
479,5.85001
480,-0.149994
481,-0.149994
482,-6.14999
483,-6.14999
484,-3.14999
485,-3.14999
486,-1.14999
487,-3.14999
488,-6.14999
489,-4.14999
490,-7.14999
491,-4.14999
492,-2.14999
493,-0.149994
494,1.85001
495,0.850006
496,1.85001
497,1.85001
498,-1.14999
499,-5.14999
500,-4.14999
501,-1.14999
502,-4.14999
503,-4.14999
504,-1.14999
505,-6.14999
506,-10.15
507,-7.14999
508,-4.14999
509,1.85001
510,2.85001
511,14.85
